date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:50	2866/2866	---MCZ	200	added ('OK')	text/html	etag:W/%225d5f17c3-b32%22	http://68.183.158.95/GIFe_me_time/	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/index.html	(from )
11:18:50	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Aug%202019%2005:48:52%20GMT	http://68.183.158.95/robots.txt		(from )
11:18:50	6072/6072	---M--	200	added ('OK')	text/css	etag:%225d5f181f-17b8%22	http://68.183.158.95/GIFe_me_time/styles/layout.css	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/styles/layout.css	(from http://68.183.158.95/GIFe_me_time/)
11:18:51	1503/1503	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Aug%202019%2005:48:52%20GMT	http://68.183.158.95/GIFe_me_time/login.php	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/login.html	(from http://68.183.158.95/GIFe_me_time/)
11:18:51	2323/2323	---M--	200	added ('OK')	image/gif	etag:%225d5f1b08-913%22	http://68.183.158.95/GIFe_me_time/images/demo/960x360.gif	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/images/demo/960x360.gif	(from http://68.183.158.95/GIFe_me_time/)
11:18:51	1143/1143	---M--	200	added ('OK')	image/gif	etag:%225d5f1b07-477%22	http://68.183.158.95/GIFe_me_time/images/demo/290x180.gif	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/images/demo/290x180.gif	(from http://68.183.158.95/GIFe_me_time/)
11:18:51	1483/1483	---M--	200	added ('OK')	image/gif	etag:%225d5f1b08-5cb%22	http://68.183.158.95/GIFe_me_time/images/demo/450x250.gif	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/images/demo/450x250.gif	(from http://68.183.158.95/GIFe_me_time/)
11:18:52	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Aug%202019%2005:48:54%20GMT	http://68.183.158.95/GIFe_me_time/styles/images/demo/username.gif	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/styles/images/demo/username.gif	(from http://68.183.158.95/GIFe_me_time/styles/layout.css)
11:18:52	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Aug%202019%2005:48:54%20GMT	http://68.183.158.95/GIFe_me_time/styles/images/demo/password.gif	C:/My%20Web%20Sites/Gifemetime/68.183.158.95/GIFe_me_time/styles/images/demo/password.gif	(from http://68.183.158.95/GIFe_me_time/styles/layout.css)
11:18:53	97339/97339	---M-Z	200	added ('OK')	text/css	etag:%221544639645%22	http://netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap.min.css	C:/My%20Web%20Sites/Gifemetime/netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap.min.css	(from http://68.183.158.95/GIFe_me_time/login.php)
